run_id,run_name,created_at,state,cfg.data.norm_mode,cfg.data.n_windows,cfg.data.window_size_seconds,cfg.data.batch_size,cfg.loss.regularizer,cfg.loss.std_coeff,cfg.loss.cov_coeff,cfg.loss.use_projector,cfg.loss.pred_loss_type,cfg.model.encoder_depth,cfg.model.encoder_embed_dim,cfg.model.patch_size,cfg.model.predictor_depth,cfg.optim.lr,cfg.optim.epochs,cfg.optim.warmup_epochs,cfg.sanity_checks.enabled,cfg.logging.wandb_group,val/reg_position_in_movie_corr,val/reg_contrast_rms_corr,val/reg_luminance_mean_corr,val/reg_narrative_event_score_corr,val/reg_loss,sanity/embedding_variance_mean,sanity/embedding_variance_min,sanity/embedding_variance_max,sanity/embedding_variance_std,sanity/embedding_l2_mean,sanity/cosim_random_pairs_mean,sanity/cosim_random_pairs_max,sanity/loss_trend,sanity/loss_rolling_mean,sanity/pred_loss_short,sanity/pred_loss_long,sanity/grad_norm,sanity/linear_probe_acc,train_step/jepa_loss,train_step/vc_loss,train_step/pred_loss,train_step/reg_loss,train_step/cls_loss,val_corr_weighted
v3cdtl71,eeg_jepa_bs64_lr0.0005_std1.0_cov1.0_nw2_ws1s,2026-04-21T11:08:19Z,finished,global,2,1,64,vc,1.0,1.0,True,smooth_l1,2,64,50,2,0.0005,100,5,True,retrain_best_es20,0.011333012953400612,0.02273336797952652,-0.07347896695137024,0.012230291031301022,0.9787734985351564,0.07680836319923401,0.00038041939842514694,0.29918259382247925,0.0807492583990097,4.151923179626465,0.9760817885398864,0.9999967217445374,-0.006195563264191156,0.04743331437930465,0.34291768074035645,0.395365834236145,0.12888206010979084,0.546875,0.13827870786190033,0.08359380066394806,0.05468491092324257,0.8660532832145691,0.6935166120529175,-0.010600746702402832
u6bt9yse,eeg_jepa_bs64_lr0.0005_sigreg0.1_nw2_ws1s,2026-04-21T11:07:45Z,finished,global,2,1,64,sigreg,1.0,1.0,True,smooth_l1,2,64,50,2,0.0005,100,5,True,retrain_best_es20,-0.003818017663434148,0.07469199597835541,0.042768314480781555,-0.018660888075828552,0.8788429379463196,0.9290350675582886,0.01295993011444807,4.788595199584961,0.9467836618423462,6.601302146911621,0.0383886955678463,0.9999791383743286,-0.005088849440217022,0.07414247233420611,0.3384767472743988,0.1282176673412323,0.05926521905588651,0.59375,0.1664261668920517,0.013207733631134031,0.15321843326091766,0.6624729633331299,0.6929883360862732,0.03222659903112799
rgxqo93q,eeg_jepa_bs32_lr0.0005_sigreg0.1_nw4_ws4s,2026-04-21T11:07:45Z,finished,global,4,4,32,sigreg,1.0,1.0,True,smooth_l1,2,64,50,2,0.0005,100,5,True,retrain_best_es20,0.011083475314080715,0.018278753384947777,-0.006595266051590443,-0.02062106691300869,0.8189334571361542,1.1889448165893557,0.12038189172744752,5.8507208824157715,1.21632719039917,8.356361389160156,0.1236177310347557,0.9999120235443116,0.003060110509395586,0.22544744864106175,0.47991615533828735,0.4530096054077149,0.5696491340392409,0.5436893105506897,0.24345947802066803,0.009496035054326056,0.23396344482898712,0.8863127827644348,0.6913354396820068,0.004767982102930544
kwyan6qn,eeg_jepa_bs64_lr0.0005_sigreg1.0_nw1_ws1s,2026-04-21T11:06:21Z,finished,global,1,1,64,sigreg,1.0,1.0,True,smooth_l1,2,64,50,2,0.0005,100,5,True,retrain_best_es20,0.07758914679288864,0.013305251486599444,0.04438476637005806,-0.14115861058235168,0.9736194491386414,1.419567584991455,0.06618151813745499,3.849820852279663,0.9286990761756896,7.898425579071045,0.12760290503501892,0.9952372312545776,0.022315041869878777,0.12129167541861534,0.3048272132873535,0.5762400031089783,0.9265324515729912,0.59375,0.23035776615142825,0.07802586257457733,0.1523319035768509,0.8641102313995361,0.6921471953392029,0.02646788833662867
9sne8i4y,eeg_jepa_bs64_lr0.0005_std0.25_cov0.25_noproj_nw1_ws1s,2026-04-14T15:04:18Z,finished,global,1,1,64,vc,0.25,0.25,false,smooth_l1,2,64,50,2,0.0005,100,5,True,sweep_vicreg,0.06528966873884201,-0.014536027796566486,0.07236086577177048,0.07428542524576187,0.999954104423523,0.10094544291496275,0.0015503456816077232,0.8065787553787231,0.15473465621471405,2.4522910118103027,0.9271079301834106,0.9999691247940063,0.0021518983133137284,0.0327181641664356,0.20225940644741056,0.15638452768325806,0.1160026173160397,0.485436886548996,0.05060666054487229,0.0065080756321549416,0.04409858584403992,0.9508681893348694,0.6931818723678589,0.044362894538789985
uoaohykt,eeg_jepa_bs64_lr0.0005_std0.1_cov0.1_noproj_nw2_ws1s,2026-04-14T15:03:45Z,finished,global,2,1,64,vc,0.1,0.1,false,smooth_l1,2,64,50,2,0.0005,100,5,True,sweep_vicreg,0.00023171602515503764,0.012619241140782831,-0.008943658322095871,0.03106003813445568,0.9938195586204528,0.017721377313137054,0.0008356300531886518,0.1100541651248932,0.02040828950703144,2.3397274017333984,0.9440977573394777,0.9999948740005492,-0.001477833539247509,0.030567993707954884,0.11019892990589142,0.1397244781255722,0.0490690944839617,0.49514564871788025,0.043546926230192184,0.003110460005700588,0.04043646529316902,0.8293556571006775,0.6931970715522766,0.004278193466598168
mw26p7qe,eeg_jepa_bs64_lr0.0005_std0.25_cov0.25_nw1_ws1s,2026-04-14T13:38:06Z,finished,global,1,1,64,vc,0.25,0.25,true,smooth_l1,2,64,50,2,0.0005,100,5,True,sweep_vicreg,0.012870964594185352,-0.01643764227628708,-0.02978246659040451,-0.007292772643268108,1.0760617971420288,0.02888347953557968,0.0027292449958622456,0.12461938709020616,0.025553017854690552,3.796907424926758,0.8849464654922485,0.9999729990959167,-0.0040536093711852905,0.06908075451850891,0.2610263228416443,0.3505638539791107,0.06865738892372662,0.3883495330810547,0.050806473940610886,0.014351132325828075,0.03645534068346024,1.382676124572754,0.6937447190284729,-0.010734020546078683
ttvsebii,eeg_jepa_bs64_lr0.0005_std0.1_cov0.1_nw1_ws1s,2026-04-14T13:29:01Z,finished,global,1,1,64,vc,0.1,0.1,true,smooth_l1,2,64,50,2,0.0005,100,5,True,sweep_vicreg,0.01611948572099209,-0.031433407217264175,-0.03474300354719162,-0.00442555733025074,1.075148916244507,0.025577455759048465,0.0008326894603669643,0.11077553033828735,0.022060342133045197,4.978700637817383,0.9393319487571716,0.9999947547912598,-0.00415250971913337,0.06410249475389719,0.27575719356536865,0.3615151047706604,0.06322913813487244,0.4466019570827484,0.037388235330581665,0.006226311903446913,0.031161922961473465,1.3838077783584597,0.6939107775688171,-0.015459633246064185
6a2sungv,eeg_jepa_bs32_lr0.0005_std0.25_cov0.25_noproj_nw4_ws4s,2026-04-14T04:00:34Z,finished,,4,4,32,vc,0.25,0.25,false,smooth_l1,2,64,50,2,0.0005,100,5,True,sweep_vicreg,0.0697861909866333,0.0717029869556427,0.06595347821712494,0.012158097699284554,0.8905064404010773,0.06681662797927856,0.0023944666609168053,0.3069232106208801,0.0656982883810997,2.481685161590576,0.7533513307571411,0.99999737739563,0.0014917581900954285,0.03699825493618846,0.1157047152519226,0.1111539974808693,0.05745199741989573,0.5145630836486816,0.026630636304616928,0.0021978518925607204,0.02443278394639492,0.762306809425354,0.692582905292511,0.06344860661774873
2eti2yp8,eeg_jepa_bs32_lr0.0005_std1.0_cov1.0_noproj_nw4_ws4s,2026-04-13T20:04:08Z,finished,,4,4,32,vc,1.0,1.0,false,smooth_l1,2,64,50,2,0.0005,100,5,True,sweep_vicreg,0.05633091181516647,0.07080523669719696,0.06288919597864151,-0.007113517262041569,0.8909162521362305,0.03716430440545082,0.0003879664291162044,0.19929419457912445,0.04070806875824928,2.098690986633301,0.8449149131774902,0.999997615814209,0.0011507755704224104,0.032758235717192295,0.1016329824924469,0.09888415038585664,0.07230742573689218,0.49514564871788025,0.028885770589113235,0.007014123722910881,0.02187164686620235,0.7612513899803162,0.6925320029258728,0.056296251621097325
